Position	Time		RR		BPM
158290		158213		0.795		75.000
158454		158377		0.820		73.000
158614		158537		0.800		75.000
158776		158699		0.810		74.000
158933		158856		0.785		76.000
159085		159008		0.760		78.000
159238		159161		0.765		78.000
159393		159316		0.775		77.000
159553		159476		0.800		75.000
159721		159644		0.840		71.000
159889		159812		0.840		71.000
160049		159972		0.800		75.000
160204		160127		0.775		77.000
160361		160284		0.785		76.000
160520		160443		0.795		75.000
160678		160601		0.790		75.000
160843		160766		0.825		72.000
161006		160929		0.815		73.000
161174		161097		0.840		71.000
161334		161257		0.800		75.000
161490		161413		0.780		76.000
161643		161566		0.765		78.000
161808		161731		0.825		72.000
161973		161896		0.825		72.000
162134		162057		0.805		74.000
162297		162220		0.815		73.000
162459		162382		0.810		74.000
162617		162540		0.790		75.000
162771		162694		0.770		77.000
162926		162849		0.775		77.000
163086		163009		0.800		75.000
163254		163177		0.840		71.000
163419		163342		0.825		72.000
163578		163501		0.795		75.000
163736		163659		0.790		75.000
163889		163812		0.765		78.000
164048		163971		0.795		75.000
164203		164126		0.775		77.000
164367		164290		0.820		73.000
164532		164455		0.825		72.000
164702		164625		0.850		70.000
164864		164787		0.810		74.000
165019		164942		0.775		77.000
165174		165097		0.775		77.000
165330		165253		0.780		76.000
165490		165413		0.800		75.000
165654		165577		0.820		73.000
165821		165744		0.835		71.000
165984		165907		0.815		73.000
166147		166070		0.815		73.000
166305		166228		0.790		75.000
166460		166383		0.775		77.000
166611		166534		0.755		79.000
166775		166698		0.820		73.000
166946		166869		0.855		70.000
167114		167037		0.840		71.000
167269		167192		0.775		77.000
167419		167342		0.750		80.000
167577		167500		0.790		75.000
167737		167660		0.800		75.000
167893		167816		0.780		76.000
168050		167973		0.785		76.000
168216		168139		0.830		72.000
168384		168307		0.840		71.000
168547		168470		0.815		73.000
168693		168616		0.730		82.000
168843		168766		0.750		80.000
169004		168927		0.805		74.000
169169		169092		0.825		72.000
169324		169247		0.775		77.000
169482		169405		0.790		75.000
169642		169565		0.800		75.000
169801		169724		0.795		75.000
169918		169841		0.585		102.000
170099		170022		0.905		66.000
170267		170190		0.840		71.000
170436		170359		0.845		71.000
170604		170527		0.840		71.000
170765		170688		0.805		74.000
170921		170844		0.780		76.000
171049		170972		0.640		93.000
171226		171149		0.885		67.000
171385		171308		0.795		75.000
171538		171461		0.765		78.000
171697		171620		0.795		75.000
171867		171790		0.850		70.000
172033		171956		0.830		72.000
172180		172103		0.735		81.000
172331		172254		0.755		79.000
172487		172410		0.780		76.000
172650		172573		0.815		73.000
172810		172733		0.800		75.000
172969		172892		0.795		75.000
173129		173052		0.800		75.000
173293		173216		0.820		73.000
173448		173371		0.775		77.000
173595		173518		0.735		81.000
173749		173672		0.770		77.000
173872		173795		0.615		97.000
174076		173999		1.020		58.000
174251		174174		0.875		68.000
174418		174341		0.835		71.000
174572		174495		0.770		77.000
174731		174654		0.795		75.000
174894		174817		0.815		73.000
175053		174976		0.795		75.000
175216		175139		0.815		73.000
175380		175303		0.820		73.000
175549		175472		0.845		71.000
175711		175634		0.810		74.000
175866		175789		0.775		77.000
176020		175943		0.770		77.000
176180		176103		0.800		75.000
176339		176262		0.795		75.000
176502		176425		0.815		73.000
176627		176550		0.625		96.000
176827		176750		1.000		60.000
176989		176912		0.810		74.000
177152		177075		0.815		73.000
177308		177231		0.780		76.000
177426		177349		0.590		101.000
177628		177551		1.010		59.000
177804		177727		0.880		68.000
177972		177895		0.840		71.000
178132		178055		0.800		75.000
178294		178217		0.810		74.000
178454		178377		0.800		75.000
178619		178542		0.825		72.000
178782		178705		0.815		73.000
178951		178874		0.845		71.000
179122		179045		0.855		70.000
179287		179210		0.825		72.000
179445		179368		0.790		75.000
179601		179524		0.780		76.000
179760		179683		0.795		75.000
179930		179853		0.850		70.000
180104		180027		0.870		68.000
180269		180192		0.825		72.000
180435		180358		0.830		72.000
180596		180519		0.805		74.000
180755		180678		0.795		75.000
180911		180834		0.780		76.000
181070		180993		0.795		75.000
181240		181163		0.850		70.000
181411		181334		0.855		70.000
181579		181502		0.840		71.000
181739		181662		0.800		75.000
181900		181823		0.805		74.000
182061		181984		0.805		74.000
182224		182147		0.815		73.000
182385		182308		0.805		74.000
182554		182477		0.845		71.000
182721		182644		0.835		71.000
182889		182812		0.840		71.000
183045		182968		0.780		76.000
183202		183125		0.785		76.000
183365		183288		0.815		73.000
183533		183456		0.840		71.000
183704		183627		0.855		70.000
183869		183792		0.825		72.000
184037		183960		0.840		71.000
184197		184120		0.800		75.000
184360		184283		0.815		73.000
184518		184441		0.790		75.000
184680		184603		0.810		74.000
184851		184774		0.855		70.000
185023		184946		0.860		69.000
185191		185114		0.840		71.000
185346		185269		0.775		77.000
185507		185430		0.805		74.000
185666		185589		0.795		75.000
185829		185752		0.815		73.000
185993		185916		0.820		73.000
186160		186083		0.835		71.000
186329		186252		0.845		71.000
186492		186415		0.815		73.000
186648		186571		0.780		76.000
186802		186725		0.770		77.000
186960		186883		0.790		75.000
187124		187047		0.820		73.000
187291		187214		0.835		71.000
187459		187382		0.840		71.000
187619		187542		0.800		75.000
187781		187704		0.810		74.000
187939		187862		0.790		75.000
188097		188020		0.790		75.000
188258		188181		0.805		74.000
188427		188350		0.845		71.000
188595		188518		0.840		71.000
188766		188689		0.855		70.000
188927		188850		0.805		74.000
189083		189006		0.780		76.000
189242		189165		0.795		75.000
189402		189325		0.800		75.000
189566		189489		0.820		73.000
189735		189658		0.845		71.000
189904		189827		0.845		71.000
190065		189988		0.805		74.000
190228		190151		0.815		73.000
190384		190307		0.780		76.000
190536		190459		0.760		78.000
190700		190623		0.820		73.000
190863		190786		0.815		73.000
191028		190951		0.825		72.000
191188		191111		0.800		75.000
191346		191269		0.790		75.000
191500		191423		0.770		77.000
191659		191582		0.795		75.000
191818		191741		0.795		75.000
191978		191901		0.800		75.000
192148		192071		0.850		70.000
192312		192235		0.820		73.000
192473		192396		0.805		74.000
192634		192557		0.805		74.000
192748		192671		0.570		105.000
192939		192862		0.955		62.000
193110		193033		0.855		70.000
193280		193203		0.850		70.000
193448		193371		0.840		71.000
193617		193540		0.845		71.000
193779		193702		0.810		74.000
193932		193855		0.765		78.000
194091		194014		0.795		75.000
194248		194171		0.785		76.000
194415		194338		0.835		71.000
194587		194510		0.860		69.000
194752		194675		0.825		72.000
194909		194832		0.785		76.000
195069		194992		0.800		75.000
195227		195150		0.790		75.000
195347		195270		0.600		100.000
195536		195459		0.945		63.000
195699		195622		0.815		73.000
195866		195789		0.835		71.000
196030		195953		0.820		73.000
196183		196106		0.765		78.000
196334		196257		0.755		79.000
196495		196418		0.805		74.000
196654		196577		0.795		75.000
196818		196741		0.820		73.000
196983		196906		0.825		72.000
197145		197068		0.810		74.000
197311		197234		0.830		72.000
197470		197393		0.795		75.000
197623		197546		0.765		78.000
197779		197702		0.780		76.000
197949		197872		0.850		70.000
198115		198038		0.830		72.000
198279		198202		0.820		73.000
198439		198362		0.800		75.000
198595		198518		0.780		76.000
198753		198676		0.790		75.000
198913		198836		0.800		75.000
199072		198995		0.795		75.000
199237		199160		0.825		72.000
199407		199330		0.850		70.000
199572		199495		0.825		72.000
199727		199650		0.775		77.000
199876		199799		0.745		80.000
200025		199948		0.745		80.000
200180		200103		0.775		77.000
200341		200264		0.805		74.000
200504		200427		0.815		73.000
200664		200587		0.800		75.000
200826		200749		0.810		74.000
200983		200906		0.785		76.000
201132		201055		0.745		80.000
201281		201204		0.745		80.000
201441		201364		0.800		75.000
201598		201521		0.785		76.000
201761		201684		0.815		73.000
201924		201847		0.815		73.000
202083		202006		0.795		75.000
202234		202157		0.755		79.000
202390		202313		0.780		76.000
202549		202472		0.795		75.000
202708		202631		0.795		75.000
202869		202792		0.805		74.000
203041		202964		0.860		69.000
203213		203136		0.860		69.000
203365		203288		0.760		78.000
203519		203442		0.770		77.000
203681		203604		0.810		74.000
203845		203768		0.820		73.000
204004		203927		0.795		75.000
204171		204094		0.835		71.000
204344		204267		0.865		69.000
204502		204425		0.790		75.000
204661		204584		0.795		75.000
204819		204742		0.790		75.000
204982		204905		0.815		73.000
205141		205064		0.795		75.000
205308		205231		0.835		71.000
205477		205400		0.845		71.000
205642		205565		0.825		72.000
205790		205713		0.740		81.000
205944		205867		0.770		77.000
206103		206026		0.795		75.000
206264		206187		0.805		74.000
206416		206339		0.760		78.000
206581		206504		0.825		72.000
206750		206673		0.845		71.000
206913		206836		0.815		73.000
207056		206979		0.715		83.000
207210		207133		0.770		77.000
207371		207294		0.805		74.000
207540		207463		0.845		71.000
207698		207621		0.790		75.000
207858		207781		0.800		75.000
208026		207949		0.840		71.000
208188		208111		0.810		74.000
208333		208256		0.725		82.000
208482		208405		0.745		80.000
208642		208565		0.800		75.000
208810		208733		0.840		71.000
208968		208891		0.790		75.000
209129		209052		0.805		74.000
209289		209212		0.800		75.000
209447		209370		0.790		75.000
209569		209492		0.610		98.000
209749		209672		0.900		66.000
209914		209837		0.825		72.000
210083		210006		0.845		71.000
210251		210174		0.840		71.000
210417		210340		0.830		72.000
210572		210495		0.775		77.000
210724		210647		0.760		78.000
210880		210803		0.780		76.000
211042		210965		0.810		74.000
211204		211127		0.810		74.000
211364		211287		0.800		75.000
211530		211453		0.830		72.000
211690		211613		0.800		75.000
211843		211766		0.765		78.000
211998		211921		0.775		77.000
212150		212073		0.760		78.000
212311		212234		0.805		74.000
212473		212396		0.810		74.000
212640		212563		0.835		71.000
212800		212723		0.800		75.000
212959		212882		0.795		75.000
213111		213034		0.760		78.000
213271		213194		0.800		75.000
213429		213352		0.790		75.000
213589		213512		0.800		75.000
213755		213678		0.830		72.000
213922		213845		0.835		71.000
214083		214006		0.805		74.000
214239		214162		0.780		76.000
214395		214318		0.780		76.000
214552		214475		0.785		76.000
214718		214641		0.830		72.000
214885		214808		0.835		71.000
215047		214970		0.810		74.000
215214		215137		0.835		71.000
215375		215298		0.805		74.000
215530		215453		0.775		77.000
215682		215605		0.760		78.000
215843		215766		0.805		74.000
216008		215931		0.825		72.000
216180		216103		0.860		69.000
216344		216267		0.820		73.000
216504		216427		0.800		75.000
216669		216592		0.825		72.000
216829		216752		0.800		75.000
216988		216911		0.795		75.000
217153		217076		0.825		72.000
217324		217247		0.855		70.000
217494		217417		0.850		70.000
217658		217581		0.820		73.000
217815		217738		0.785		76.000
217971		217894		0.780		76.000
218132		218055		0.805		74.000
218291		218214		0.795		75.000
218456		218379		0.825		72.000
218623		218546		0.835		71.000
218788		218711		0.825		72.000
218945		218868		0.785		76.000
219104		219027		0.795		75.000
219257		219180		0.765		78.000
219413		219336		0.780		76.000
219578		219501		0.825		72.000
219747		219670		0.845		71.000
219911		219834		0.820		73.000
220074		219997		0.815		73.000
220228		220151		0.770		77.000
220387		220310		0.795		75.000
220550		220473		0.815		73.000
220709		220632		0.795		75.000
220822		220745		0.565		106.000
221027		220950		1.025		58.000
221195		221118		0.840		71.000
221354		221277		0.795		75.000
221507		221430		0.765		78.000
221665		221588		0.790		75.000
221824		221747		0.795		75.000
221989		221912		0.825		72.000
222152		222075		0.815		73.000
222315		222238		0.815		73.000
222481		222404		0.830		72.000
222635		222558		0.770		77.000
222789		222712		0.770		77.000
222948		222871		0.795		75.000
223109		223032		0.805		74.000
223279		223202		0.850		70.000
223447		223370		0.840		71.000
223614		223537		0.835		71.000
223772		223695		0.790		75.000
223931		223854		0.795		75.000
224088		224011		0.785		76.000
224252		224175		0.820		73.000
224416		224339		0.820		73.000
224580		224503		0.820		73.000
224749		224672		0.845		71.000
224912		224835		0.815		73.000
225069		224992		0.785		76.000
225221		225144		0.760		78.000
225382		225305		0.805		74.000
225544		225467		0.810		74.000
225708		225631		0.820		73.000
225872		225795		0.820		73.000
226033		225956		0.805		74.000
226194		226117		0.805		74.000
226351		226274		0.785		76.000
226502		226425		0.755		79.000
226663		226586		0.805		74.000
226831		226754		0.840		71.000
226998		226921		0.835		71.000
227161		227084		0.815		73.000
227319		227242		0.790		75.000
227476		227399		0.785		76.000
227634		227557		0.790		75.000
227791		227714		0.785		76.000
227956		227879		0.825		72.000
228123		228046		0.835		71.000
228292		228215		0.845		71.000
228453		228376		0.805		74.000
228609		228532		0.780		76.000
228765		228688		0.780		76.000
228922		228845		0.785		76.000
229084		229007		0.810		74.000
229253		229176		0.845		71.000
229423		229346		0.850		70.000
229585		229508		0.810		74.000
229748		229671		0.815		73.000
229909		229832		0.805		74.000
230062		229985		0.765		78.000
230218		230141		0.780		76.000
230380		230303		0.810		74.000
230550		230473		0.850		70.000
230715		230638		0.825		72.000
230875		230798		0.800		75.000
231026		230949		0.755		79.000
231188		231111		0.810		74.000
231344		231267		0.780		76.000
231499		231422		0.775		77.000
231663		231586		0.820		73.000
231831		231754		0.840		71.000
231994		231917		0.815		73.000
232151		232074		0.785		76.000
232305		232228		0.770		77.000
232460		232383		0.775		77.000
232623		232546		0.815		73.000
232783		232706		0.800		75.000
232944		232867		0.805		74.000
233110		233033		0.830		72.000
233271		233194		0.805		74.000
233425		233348		0.770		77.000
233581		233504		0.780		76.000
233738		233661		0.785		76.000
233898		233821		0.800		75.000
234065		233988		0.835		71.000
234232		234155		0.835		71.000
234394		234317		0.810		74.000
234521		234444		0.635		94.000
234703		234626		0.910		65.000
234859		234782		0.780		76.000
234979		234902		0.600		100.000
235170		235093		0.955		62.000
235336		235259		0.830		72.000
235506		235429		0.850		70.000
235671		235594		0.825		72.000
235824		235747		0.765		78.000
235978		235901		0.770		77.000
236132		236055		0.770		77.000
236296		236219		0.820		73.000
236464		236387		0.840		71.000
236629		236552		0.825		72.000
236789		236712		0.800		75.000
236958		236881		0.845		71.000
237114		237037		0.780		76.000
237268		237191		0.770		77.000
237427		237350		0.795		75.000
237593		237516		0.830		72.000
237762		237685		0.845		71.000
237929		237852		0.835		71.000
238087		238010		0.790		75.000
238245		238168		0.790		75.000
238409		238332		0.820		73.000
238567		238490		0.790		75.000
238724		238647		0.785		76.000
238895		238818		0.855		70.000
239060		238983		0.825		72.000
239229		239152		0.845		71.000
239388		239311		0.795		75.000
239544		239467		0.780		76.000
239699		239622		0.775		77.000
239866		239789		0.835		71.000
240030		239953		0.820		73.000
240196		240119		0.830		72.000
240363		240286		0.835		71.000
240524		240447		0.805		74.000
240681		240604		0.785		76.000
240838		240761		0.785		76.000
240995		240918		0.785		76.000
241103		241026		0.540		111.000
241309		241232		1.030		58.000
241476		241399		0.835		71.000
241641		241564		0.825		72.000
241800		241723		0.795		75.000
241952		241875		0.760		78.000
242113		242036		0.805		74.000
242275		242198		0.810		74.000
242385		242308		0.550		109.000
242587		242510		1.010		59.000
242757		242680		0.850		70.000
242923		242846		0.830		72.000
243080		243003		0.785		76.000
243236		243159		0.780		76.000
243394		243317		0.790		75.000
243562		243485		0.840		71.000
243730		243653		0.840		71.000
243894		243817		0.820		73.000
244056		243979		0.810		74.000
244221		244144		0.825		72.000
244379		244302		0.790		75.000
244537		244460		0.790		75.000
244699		244622		0.810		74.000
244870		244793		0.855		70.000
245043		244966		0.865		69.000
245208		245131		0.825		72.000
245368		245291		0.800		75.000
245532		245455		0.820		73.000
245696		245619		0.820		73.000
245861		245784		0.825		72.000
245982		245905		0.605		99.000
246187		246110		1.025		58.000
246360		246283		0.865		69.000
246528		246451		0.840		71.000
246685		246608		0.785		76.000
246844		246767		0.795		75.000
247009		246932		0.825		72.000
247138		247061		0.645		93.000
247335		247258		0.985		60.000
247503		247426		0.840		71.000
247668		247591		0.825		72.000
247829		247752		0.805		74.000
247984		247907		0.775		77.000
248140		248063		0.780		76.000
248302		248225		0.810		74.000
248471		248394		0.845		71.000
248637		248560		0.830		72.000
248800		248723		0.815		73.000
248958		248881		0.790		75.000
249115		249038		0.785		76.000
249274		249197		0.795		75.000
249433		249356		0.795		75.000
249601		249524		0.840		71.000
249770		249693		0.845		71.000
249939		249862		0.845		71.000
250101		250024		0.810		74.000
250261		250184		0.800		75.000
250417		250340		0.780		76.000
250577		250500		0.800		75.000
250743		250666		0.830		72.000
250914		250837		0.855		70.000
251083		251006		0.845		71.000
251247		251170		0.820		73.000
251408		251331		0.805		74.000
251567		251490		0.795		75.000
251724		251647		0.785		76.000
251886		251809		0.810		74.000
252050		251973		0.820		73.000
252219		252142		0.845		71.000
252388		252311		0.845		71.000
252549		252472		0.805		74.000
252663		252586		0.570		105.000
252856		252779		0.965		62.000
253021		252944		0.825		72.000
253184		253107		0.815		73.000
253351		253274		0.835		71.000
253519		253442		0.840		71.000
253684		253607		0.825		72.000
253842		253765		0.790		75.000
253994		253917		0.760		78.000
254154		254077		0.800		75.000
254321		254244		0.835		71.000
254489		254412		0.840		71.000
254618		254541		0.645		93.000
254815		254738		0.985		60.000
254977		254900		0.810		74.000
255137		255060		0.800		75.000
255291		255214		0.770		77.000
255449		255372		0.790		75.000
255616		255539		0.835		71.000
255788		255711		0.860		69.000
255953		255876		0.825		72.000
256110		256033		0.785		76.000
256273		256196		0.815		73.000
256432		256355		0.795		75.000
256591		256514		0.795		75.000
256754		256677		0.815		73.000
256921		256844		0.835		71.000
257092		257015		0.855		70.000
257257		257180		0.825		72.000
257412		257335		0.775		77.000
257569		257492		0.785		76.000
257727		257650		0.790		75.000
257885		257808		0.790		75.000
258058		257981		0.865		69.000
258227		258150		0.845		71.000
258391		258314		0.820		73.000
258556		258479		0.825		72.000
258713		258636		0.785		76.000
258869		258792		0.780		76.000
259027		258950		0.790		75.000
259193		259116		0.830		72.000
259362		259285		0.845		71.000
259530		259453		0.840		71.000
259695		259618		0.825		72.000
259851		259774		0.780		76.000
260013		259936		0.810		74.000
260171		260094		0.790		75.000
260335		260258		0.820		73.000
260503		260426		0.840		71.000
260672		260595		0.845		71.000
260837		260760		0.825		72.000
261003		260926		0.830		72.000
261159		261082		0.780		76.000
261319		261242		0.800		75.000
261486		261409		0.835		71.000
261656		261579		0.850		70.000
261823		261746		0.835		71.000
261993		261916		0.850		70.000
262150		262073		0.785		76.000
262313		262236		0.815		73.000
262471		262394		0.790		75.000
262629		262552		0.790		75.000
262795		262718		0.830		72.000
262969		262892		0.870		68.000
263134		263057		0.825		72.000
263297		263220		0.815		73.000
263454		263377		0.785		76.000
263614		263537		0.800		75.000
263775		263698		0.805		74.000
263937		263860		0.810		74.000
264101		264024		0.820		73.000
264273		264196		0.860		69.000
264442		264365		0.845		71.000
264600		264523		0.790		75.000
264756		264679		0.780		76.000
264916		264839		0.800		75.000
265080		265003		0.820		73.000
265250		265173		0.850		70.000
265416		265339		0.830		72.000
265579		265502		0.815		73.000
265744		265667		0.825		72.000
265902		265825		0.790		75.000
266056		265979		0.770		77.000
266213		266136		0.785		76.000
266375		266298		0.810		74.000
266543		266466		0.840		71.000
266708		266631		0.825		72.000
266868		266791		0.800		75.000
267021		266944		0.765		78.000
267179		267102		0.790		75.000
267334		267257		0.775		77.000
267491		267414		0.785		76.000
267658		267581		0.835		71.000
267825		267748		0.835		71.000
267990		267913		0.825		72.000
268149		268072		0.795		75.000
268302		268225		0.765		78.000
268452		268375		0.750		80.000
268608		268531		0.780		76.000
268766		268689		0.790		75.000
268930		268853		0.820		73.000
269091		269014		0.805		74.000
269250		269173		0.795		75.000
269405		269328		0.775		77.000
269565		269488		0.800		75.000
269720		269643		0.775		77.000
269880		269803		0.800		75.000
270047		269970		0.835		71.000
270220		270143		0.865		69.000
270389		270312		0.845		71.000
270549		270472		0.800		75.000
270707		270630		0.790		75.000
270870		270793		0.815		73.000
271034		270957		0.820		73.000
271201		271124		0.835		71.000
271369		271292		0.840		71.000
271544		271467		0.875		68.000
271708		271631		0.820		73.000
271866		271789		0.790		75.000
272023		271946		0.785		76.000
272185		272108		0.810		74.000
272352		272275		0.835		71.000
272520		272443		0.840		71.000
272689		272612		0.845		71.000
272854		272777		0.825		72.000
273017		272940		0.815		73.000
273174		273097		0.785		76.000
273330		273253		0.780		76.000
273494		273417		0.820		73.000
273660		273583		0.830		72.000
273830		273753		0.850		70.000
273994		273917		0.820		73.000
274158		274081		0.820		73.000
274315		274238		0.785		76.000
274476		274399		0.805		74.000
274635		274558		0.795		75.000
274797		274720		0.810		74.000
274963		274886		0.830		72.000
275127		275050		0.820		73.000
275285		275208		0.790		75.000
275440		275363		0.775		77.000
275594		275517		0.770		77.000
275748		275671		0.770		77.000
275913		275836		0.825		72.000
276031		275954		0.590		101.000
276232		276155		1.005		59.000
276400		276323		0.840		71.000
276560		276483		0.800		75.000
276716		276639		0.780		76.000
276874		276797		0.790		75.000
277034		276957		0.800		75.000
277198		277121		0.820		73.000
277366		277289		0.840		71.000
277534		277457		0.840		71.000
277692		277615		0.790		75.000
277850		277773		0.790		75.000
278006		277929		0.780		76.000
278163		278086		0.785		76.000
278329		278252		0.830		72.000
278494		278417		0.825		72.000
278662		278585		0.840		71.000
278827		278750		0.825		72.000
278990		278913		0.815		73.000
279144		279067		0.770		77.000
279303		279226		0.795		75.000
279462		279385		0.795		75.000
279630		279553		0.840		71.000
279800		279723		0.850		70.000
279965		279888		0.825		72.000
280124		280047		0.795		75.000
280288		280211		0.820		73.000
280443		280366		0.775		77.000
280600		280523		0.785		76.000
280762		280685		0.810		74.000
280929		280852		0.835		71.000
281097		281020		0.840		71.000
281260		281183		0.815		73.000
281412		281335		0.760		78.000
281568		281491		0.780		76.000
281729		281652		0.805		74.000
281889		281812		0.800		75.000
282054		281977		0.825		72.000
282222		282145		0.840		71.000
282391		282314		0.845		71.000
282555		282478		0.820		73.000
282715		282638		0.800		75.000
282868		282791		0.765		78.000
283035		282958		0.835		71.000
283204		283127		0.845		71.000
283371		283294		0.835		71.000
283536		283459		0.825		72.000
283702		283625		0.830		72.000
283860		283783		0.790		75.000
284020		283943		0.800		75.000
284175		284098		0.775		77.000
284335		284258		0.800		75.000
284508		284431		0.865		69.000
284678		284601		0.850		70.000
284839		284762		0.805		74.000
284997		284920		0.790		75.000
285155		285078		0.790		75.000
285315		285238		0.800		75.000
285480		285403		0.825		72.000
285644		285567		0.820		73.000
285812		285735		0.840		71.000
285984		285907		0.860		69.000
286146		286069		0.810		74.000
286299		286222		0.765		78.000
286455		286378		0.780		76.000
286614		286537		0.795		75.000
286783		286706		0.845		71.000
286953		286876		0.850		70.000
287118		287041		0.825		72.000
287286		287209		0.840		71.000
287450		287373		0.820		73.000
287609		287532		0.795		75.000
287764		287687		0.775		77.000
287929		287852		0.825		72.000
288095		288018		0.830		72.000
288266		288189		0.855		70.000
288429		288352		0.815		73.000
288584		288507		0.775		77.000
288743		288666		0.795		75.000
288904		288827		0.805		74.000
289052		288975		0.740		81.000
289226		289149		0.870		68.000
289396		289319		0.850		70.000
289514		289437		0.590		101.000
289714		289637		1.000		60.000
289873		289796		0.795		75.000
290032		289955		0.795		75.000
290196		290119		0.820		73.000
290364		290287		0.840		71.000
290533		290456		0.845		71.000
290700		290623		0.835		71.000
290867		290790		0.835		71.000
291028		290951		0.805		74.000
291190		291113		0.810		74.000
291346		291269		0.780		76.000
291511		291434		0.825		72.000
291686		291609		0.875		68.000
291857		291780		0.855		70.000
292020		291943		0.815		73.000
292180		292103		0.800		75.000
292338		292261		0.790		75.000
292499		292422		0.805		74.000
292661		292584		0.810		74.000
292825		292748		0.820		73.000
292993		292916		0.840		71.000
293162		293085		0.845		71.000
293324		293247		0.810		74.000
293479		293402		0.775		77.000
293637		293560		0.790		75.000
293796		293719		0.795		75.000
293964		293887		0.840		71.000
294132		294055		0.840		71.000
294302		294225		0.850		70.000
294467		294390		0.825		72.000
294630		294553		0.815		73.000
294786		294709		0.780		76.000
294948		294871		0.810		74.000
295112		295035		0.820		73.000
295279		295202		0.835		71.000
295450		295373		0.855		70.000
295617		295540		0.835		71.000
295778		295701		0.805		74.000
295938		295861		0.800		75.000
296095		296018		0.785		76.000
296259		296182		0.820		73.000
296422		296345		0.815		73.000
296591		296514		0.845		71.000
296754		296677		0.815		73.000
296917		296840		0.815		73.000
297076		296999		0.795		75.000
297232		297155		0.780		76.000
297392		297315		0.800		75.000
297557		297480		0.825		72.000
297729		297652		0.860		69.000
297895		297818		0.830		72.000
298060		297983		0.825		72.000
298215		298138		0.775		77.000
298374		298297		0.795		75.000
298531		298454		0.785		76.000
298694		298617		0.815		73.000
298864		298787		0.850		70.000
299033		298956		0.845		71.000
299203		299126		0.850		70.000
299362		299285		0.795		75.000
299521		299444		0.795		75.000
299679		299602		0.790		75.000
299844		299767		0.825		72.000
300010		299933		0.830		72.000
300175		300098		0.825		72.000
300342		300265		0.835		71.000
300507		300430		0.825		72.000
300664		300587		0.785		76.000
300821		300744		0.785		76.000
300978		300901		0.785		76.000
301145		301068		0.835		71.000
301317		301240		0.860		69.000
301485		301408		0.840		71.000
301649		301572		0.820		73.000
301811		301734		0.810		74.000
301973		301896		0.810		74.000
302129		302052		0.780		76.000
302293		302216		0.820		73.000
302460		302383		0.835		71.000
302630		302553		0.850		70.000
302799		302722		0.845		71.000
302959		302882		0.800		75.000
303111		303034		0.760		78.000
303269		303192		0.790		75.000
303426		303349		0.785		76.000
303584		303507		0.790		75.000
303746		303669		0.810		74.000
303855		303778		0.545		110.000
304080		304003		1.125		53.000
304236		304159		0.780		76.000
304390		304313		0.770		77.000
304542		304465		0.760		78.000
304710		304633		0.840		71.000
304876		304799		0.830		72.000
305039		304962		0.815		73.000
305201		305124		0.810		74.000
305359		305282		0.790		75.000
305515		305438		0.780		76.000
305674		305597		0.795		75.000
305829		305752		0.775		77.000
305991		305914		0.810		74.000
306164		306087		0.865		69.000
306331		306254		0.835		71.000
306487		306410		0.780		76.000
306644		306567		0.785		76.000
306800		306723		0.780		76.000
306960		306883		0.800		75.000
307124		307047		0.820		73.000
307288		307211		0.820		73.000
307459		307382		0.855		70.000
307629		307552		0.850		70.000
307789		307712		0.800		75.000
307943		307866		0.770		77.000
308102		308025		0.795		75.000
308259		308182		0.785		76.000
308428		308351		0.845		71.000
308593		308516		0.825		72.000
308754		308677		0.805		74.000
308921		308844		0.835		71.000
309082		309005		0.805		74.000
309239		309162		0.785		76.000
309394		309317		0.775		77.000
309555		309478		0.805		74.000
309724		309647		0.845		71.000
309895		309818		0.855		70.000
310059		309982		0.820		73.000
310212		310135		0.765		78.000
310373		310296		0.805		74.000
310531		310454		0.790		75.000
310692		310615		0.805		74.000
310855		310778		0.815		73.000
311022		310945		0.835		71.000
311190		311113		0.840		71.000
311355		311278		0.825		72.000
311511		311434		0.780		76.000
311661		311584		0.750		80.000
311825		311748		0.820		73.000
311989		311912		0.820		73.000
312153		312076		0.820		73.000
312313		312236		0.800		75.000
312474		312397		0.805		74.000
312630		312553		0.780		76.000
312754		312677		0.620		96.000
312937		312860		0.915		65.000
313093		313016		0.780		76.000
313264		313187		0.855		70.000
313430		313353		0.830		72.000
313590		313513		0.800		75.000
313748		313671		0.790		75.000
313904		313827		0.780		76.000
314060		313983		0.780		76.000
314220		314143		0.800		75.000
314380		314303		0.800		75.000
314547		314470		0.835		71.000
314668		314591		0.605		99.000
314867		314790		0.995		60.000
315023		314946		0.780		76.000
315182		315105		0.795		75.000
315291		315214		0.545		110.000
315481		315404		0.950		63.000
315650		315573		0.845		71.000
315816		315739		0.830		72.000
315982		315905		0.830		72.000
316146		316069		0.820		73.000
316304		316227		0.790		75.000
316458		316381		0.770		77.000
316615		316538		0.785		76.000
316779		316702		0.820		73.000
316950		316873		0.855		70.000
317117		317040		0.835		71.000
317279		317202		0.810		74.000
317439		317362		0.800		75.000
317601		317524		0.810		74.000
317764		317687		0.815		73.000
317925		317848		0.805		74.000
318095		318018		0.850		70.000
318264		318187		0.845		71.000
318433		318356		0.845		71.000
318595		318518		0.810		74.000
318751		318674		0.780		76.000
318910		318833		0.795		75.000
319076		318999		0.830		72.000
319208		319131		0.660		90.000
319405		319328		0.985		60.000
319577		319500		0.860		69.000
